2.742998605460159611e-01 7.546867009214122124e-01 9.486716006654887234e-01
9.973101958100967224e-01 8.029889076398400993e-01 8.369954407804232055e-01
7.649677111664898721e-02 5.962413988496577666e-01 9.667582250496519203e-01
7.931570410882121669e-01 5.445461603180445920e-02 9.092258845051530702e-01
6.442070963364232572e-02 2.074835094955160830e-01 6.788592019622015084e-01
6.288106376771074313e-02 6.519662988499048684e-01 8.312269263524401097e-01
2.909082049667200964e-01 2.622324282381279792e-01 8.954427379875418147e-01
8.069548995402154867e-01 2.702001274090095606e-01 6.601966179486356001e-01
9.626358957383372994e-01 2.807409307075947602e-01 8.039613855569950340e-01
5.269310569015284162e-02 6.618771860488397163e-01 9.047957444342967781e-01
3.605832161703070859e-01 9.281593492835602532e-01 6.229391399623023240e-01
5.218653070695479235e-01 2.622501366847720394e-01 9.155695926963604014e-01
3.681422481568679128e-01 3.293589573640822721e-01 9.711132973217941888e-01
9.322402033585609482e-01 1.670981931745426641e-01 8.849396235393067744e-01
3.144274107324669387e-01 7.379550514417904106e-01 8.644580163552991747e-01
